id,probleme,name,category,subcategory,city,province,phone,website,address,hours,is_province_wide,is_urgent,verification_note,description
bc-ircc,sans adresse,IRCC – Immigration BC,immigration,Services d'immigration,Province de la Colombie-Britannique,BC,1-888-242-2100,https://www.canada.ca/fr/immigration-refugies-citoyennete.html,,Lun-ven 8h30-16h30. Sur RV pour consultations spécialisées.,t,f,,
bc-cmhc,sans adresse,SCHL – Colombie-Britannique,achatImmobilier,Aide à l'achat,Province de la Colombie-Britannique,BC,1-800-668-2642,https://www.cmhc-schl.gc.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,
bc-workbc,sans adresse,WorkBC – Emploi,emploi,Services d'emploi,Province de la Colombie-Britannique,BC,1-877-952-6914,https://www.workbc.ca,,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,t,f,,
mb-211,sans adresse,211 Manitoba,soutienSocial,Référence communautaire,Province du Manitoba,MB,211,https://mb.211.ca,,"211: disponible 7j/7, 8h-22h. Certaines régions: 24h/24.",t,f,,
mb-family-services,sans adresse,Family Services Manitoba,famille,Soutien aux familles,Province du Manitoba,MB,204-945-6171,https://www.gov.mb.ca/fs/,,Lun-ven 8h30-16h30. Sur RV.,t,f,,
mb-health-line,sans adresse,Health Links Manitoba,sante,Info-Santé 24/7,Province du Manitoba,MB,204-788-8200,https://www.gov.mb.ca/health/healthlinks/,,Lun-ven 8h30-16h30. Pour urgence: 811 (Info-Santé) ou urgence hospitalière.,t,f,,
mb-employment-mb,sans adresse,Manitoba Employment Standards,emploi,Standards d'emploi,Province du Manitoba,MB,204-945-3352,https://www.gov.mb.ca/labour/standards/,,Lun-ven 8h30-16h30.,t,f,,
mb-housing-mb,sans adresse,Manitoba Housing,logement,Logement subventionné,Province du Manitoba,MB,204-945-4663,https://www.gov.mb.ca/housing/,,Bureau lun-ven 8h30-16h30. Liste d'attente – inscription requise.,t,f,,
mb-cmhc-mb,sans adresse,SCHL – Manitoba,achatImmobilier,Aide à l'achat,Province du Manitoba,MB,1-800-668-2642,https://www.cmhc-schl.gc.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,
nb-211,sans adresse,211 Nouveau-Brunswick,soutienSocial,Référence communautaire,Province du Nouveau-Brunswick,NB,211,https://www.nb.211.ca,,"211: disponible 7j/7, 8h-22h. Certaines régions: 24h/24.",t,f,,
nb-wellness-nb,sans adresse,Bien-être NB,santemental,Santé mentale,Province du Nouveau-Brunswick,NB,1-866-771-7712,https://www.gnb.ca/sante,,Lun-ven 8h30-16h30. Sur rendez-vous pour suivi.,t,f,,
nb-chimo,sans adresse,Chimo – Ligne de crise,santemental,Crise psychologique 24/7,Province du Nouveau-Brunswick,NB,1-800-667-5005,https://www.chimohelpline.ca,,"Service disponible 24h/24, 7j/7",t,f,,
nb-emploi-nb,sans adresse,Emploi NB – Services aux travailleurs,emploi,Services d'emploi,Province du Nouveau-Brunswick,NB,1-888-762-8600,https://www2.gnb.ca/emploi,,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,t,f,,
nb-hnb,sans adresse,Horizon Santé-Nord NB,sante,Réseau de la santé,Province du Nouveau-Brunswick,NB,506-857-5111,https://www.horizonnb.ca,,Lun-ven 8h30-16h30. Pour urgence: 811 (Info-Santé) ou urgence hospitalière.,t,f,,
nb-cmhc-nb,sans adresse,SCHL – Nouveau-Brunswick,achatImmobilier,Aide à l'achat,Province du Nouveau-Brunswick,NB,1-800-668-2642,https://www.cmhc-schl.gc.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,
nb-housing-nb,sans adresse,Services de logement NB,logement,Logement abordable,Province du Nouveau-Brunswick,NB,1-800-561-4033,https://www2.gnb.ca/content/gnb/fr/departments/social_development/housing.html,,Bureau lun-ven 8h30-16h30. Liste d'attente – inscription requise.,t,f,,
nb-health-line,sans adresse,Téléconsultation médicale NB,sante,Info-Santé,Province du Nouveau-Brunswick,NB,811,https://www2.gnb.ca/content/gnb/fr/services/services_renderer.201397.Health_Link_-_Health_Advice_811.html,,"Service disponible 24h/24, 7j/7",t,f,,
nl-211,sans adresse,211 Terre-Neuve-et-Labrador,soutienSocial,Référence communautaire,Province de Terre-Neuve-et-Labrador,NL,211,https://www.nl.211.ca,,"211: disponible 7j/7, 8h-22h. Certaines régions: 24h/24.",t,f,,
nl-employment-nl,sans adresse,Emploi NL,emploi,Services d'emploi,Province de Terre-Neuve-et-Labrador,NL,709-729-2480,https://www.gov.nl.ca/mae/,,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,t,f,,
nl-811-nl,sans adresse,HealthLine NL,sante,Info-Santé 24/7,Province de Terre-Neuve-et-Labrador,NL,811,https://www.gov.nl.ca/hcs/,,"Service disponible 24h/24, 7j/7",t,f,,
nl-crisis-nl,sans adresse,Mental Health Crisis Line NL,santemental,Crise psychologique,Province de Terre-Neuve-et-Labrador,NL,1-888-737-4668,https://www.gov.nl.ca/hcs/mentalhealth/,,"Service disponible 24h/24, 7j/7",t,f,,
nl-cmhc-nl,sans adresse,SCHL – Terre-Neuve-et-Labrador,achatImmobilier,Aide à l'achat,Province de Terre-Neuve-et-Labrador,NL,1-800-668-2642,https://www.cmhc-schl.gc.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,
ns-211,sans adresse,211 Nouvelle-Écosse,soutienSocial,Référence communautaire,Province de la Nouvelle-Écosse,NS,211,https://www.ns.211.ca,,"211: disponible 7j/7, 8h-22h. Certaines régions: 24h/24.",t,f,,
ns-811,sans adresse,Info-Santé 811,sante,Info-Santé 24/7,Province de la Nouvelle-Écosse,NS,811,https://www.nshealth.ca,,"Service disponible 24h/24, 7j/7",t,f,,
ns-jobsns,sans adresse,Jobs Nova Scotia,emploi,Services d'emploi,Province de la Nouvelle-Écosse,NS,902-424-5200,https://novascotia.ca/lae/employmentservices/,,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,t,f,,
ns-crisis-line,sans adresse,Ligne de crise NS,santemental,Crise psychologique,Province de la Nouvelle-Écosse,NS,1-888-429-8167,https://www.nshealth.ca,,"Service disponible 24h/24, 7j/7",t,f,,
ns-nsha,sans adresse,Nova Scotia Health Authority,sante,Réseau de la santé,Province de la Nouvelle-Écosse,NS,1-855-450-3700,https://www.nshealth.ca,,Lun-ven 8h30-16h30. Pour urgence: 811 (Info-Santé) ou urgence hospitalière.,t,f,,
ns-housing-ns,sans adresse,Nova Scotia Housing,logement,Logement abordable,Province de la Nouvelle-Écosse,NS,902-424-5300,https://www.novascotia.ca/coms/housing/,,Bureau lun-ven 8h30-16h30. Liste d'attente – inscription requise.,t,f,,
ns-cmhc-ns,sans adresse,SCHL – Nouvelle-Écosse,achatImmobilier,Aide à l'achat,Province de la Nouvelle-Écosse,NS,1-800-668-2642,https://www.cmhc-schl.gc.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,
nt-211,sans adresse,211 Territoires du Nord-Ouest,soutienSocial,Référence communautaire,Territoires du Nord-Ouest,NT,211,https://www.nt.211.ca,,"211: disponible 7j/7, 8h-22h. Certaines régions: 24h/24.",t,f,,
nt-crisis-nt,sans adresse,Ligne de crise TNO,santemental,Crise psychologique 24/7,Territoires du Nord-Ouest,NT,1-800-661-0844,https://www.hss.gov.nt.ca,,"Service disponible 24h/24, 7j/7",t,f,,
nt-cmhc-nt,sans adresse,SCHL – Territoires du Nord-Ouest,achatImmobilier,Aide à l'achat,Territoires du Nord-Ouest,NT,1-800-668-2642,https://www.cmhc-schl.gc.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,
nt-employment-nt,sans adresse,Services aux travailleurs TNO,emploi,Services d'emploi,Yellowknife,NT,867-920-3252,https://www.ece.gov.nt.ca/fr/services/emploi,,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,t,f,,
nu-811-nu,sans adresse,811 – Info-Santé Nunavut,sante,Info-Santé 24/7,Territoire du Nunavut,NU,811,https://www.gov.nu.ca/health,,"Service disponible 24h/24, 7j/7",t,f,,
nu-crisis-nu,sans adresse,Kamatsiaqtut Helpline – Nunavut,santemental,Crise psychologique 24/7,Territoire du Nunavut,NU,867-979-3333,https://nunavutcrisisline.com,,"Service disponible 24h/24, 7j/7",t,f,,
nu-cmhc-nu,sans adresse,SCHL – Nunavut,achatImmobilier,Aide à l'achat,Territoire du Nunavut,NU,1-800-668-2642,https://www.cmhc-schl.gc.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,
on-211,sans adresse,211 Ontario,soutienSocial,Référence communautaire,Province de l'Ontario,ON,211,https://211ontario.ca,,"211: disponible 7j/7, 8h-22h. Certaines régions: 24h/24.",t,f,,
on-ohip,sans adresse,Assurance-maladie OHIP,sante,Assurance maladie,Province de l'Ontario,ON,1-800-268-1154,https://www.ontario.ca/page/what-ohip-covers,,Lun-ven 8h30-16h30. Pour urgence: 811 (Info-Santé) ou urgence hospitalière.,t,f,,
on-employment-on,sans adresse,Emploi Ontario,emploi,Services d'emploi,Province de l'Ontario,ON,1-800-387-5514,https://www.ontario.ca/page/employment-ontario,,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,t,f,,
on-ircc-toronto,sans adresse,"IRCC – Immigration, Réfugiés, Citoyenneté Canada",immigration,Services d'immigration,Province de l'Ontario,ON,1-888-242-2100,https://www.canada.ca/fr/immigration-refugies-citoyennete.html,,Lun-ven 8h30-16h30. Sur RV pour consultations spécialisées.,t,f,,
on-kids-help,sans adresse,Kids Help Phone,santemental,Soutien jeunesse,Province de l'Ontario,ON,1-800-668-6868,https://kidshelpphone.ca,,"Service disponible 24h/24, 7j/7",t,f,,
on-distress,sans adresse,Ligne de crise – Distress Centres of Ontario,santemental,Crise psychologique,Province de l'Ontario,ON,1-800-268-9688,https://www.dcontario.org,,"Service disponible 24h/24, 7j/7",t,f,,
on-crisis-ontario,sans adresse,Lignes de crise provinciales – Ontario,santemental,Ligne de crise 24/7,Province de l'Ontario,ON,1-866-531-2600,https://www.ontario.ca/page/mental-health-crisis-lines,,"Service disponible 24h/24, 7j/7",t,f,,
on-rentals-on,sans adresse,Location — Tribunal du logement,logement,Droits locataires,Province de l'Ontario,ON,1-888-332-3234,https://tribunalsontario.ca/ltb/,,Lun-ven 9h-17h. Consultations sur RV.,t,f,,
on-shelter-housing,sans adresse,Réseau ontarien de refuges (shelter),logement,Hébergement d'urgence,Province de l'Ontario,ON,1-800-265-0798,https://www.ontario.ca/page/housing-services,,"Hébergement d'urgence: accueil 24h/24, 7j/7.",t,f,,
on-cmhc-on,sans adresse,SCHL – Société canadienne d'hypothèques,achatImmobilier,Aide à l'achat,Province de l'Ontario,ON,1-800-668-2642,https://www.cmhc-schl.gc.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,
on-workopolis,sans adresse,Service Canada – Guichet-emplois,emploi,Offres d'emploi,Province de l'Ontario,ON,1-800-622-6232,https://www.guichetemplois.gc.ca,,Lun-ven 8h30-16h30.,t,f,,
on-health-line,sans adresse,Télésanté Ontario,sante,Info-Santé,Province de l'Ontario,ON,1-866-797-0000,https://www.ontario.ca/page/get-medical-advice,,Lun-ven 8h30-16h30. Pour urgence: 811 (Info-Santé) ou urgence hospitalière.,t,f,,
pe-211,sans adresse,211 Île-du-Prince-Édouard,soutienSocial,Référence communautaire,Province de l'Île-du-Prince-Édouard,PE,211,https://www.pe.211.ca,,"211: disponible 7j/7, 8h-22h. Certaines régions: 24h/24.",t,f,,
pe-employment-pe,sans adresse,Emploi PEI,emploi,Services d'emploi,Province de l'Île-du-Prince-Édouard,PE,902-368-5780,https://www.princeedwardisland.ca/fr/sujet/emploi,,Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,t,f,,
pe-family-pe,sans adresse,Family Violence Prevention Services PEI,famille,Violence conjugale,Province de l'Île-du-Prince-Édouard,PE,902-368-6589,https://www.princeedwardisland.ca/fr/information/affaires-sociales-et-aines/violence-familiale,,Ligne d'urgence 24h/24. Hébergement sur appel. Confidentiel.,t,f,,
pe-811,sans adresse,Health PEI – Info-Santé,sante,Info-Santé 24/7,Province de l'Île-du-Prince-Édouard,PE,811,https://www.healthpei.ca,,"Service disponible 24h/24, 7j/7",t,f,,
pe-crisis-line,sans adresse,Ligne de crise IPE,santemental,Crise psychologique,Province de l'Île-du-Prince-Édouard,PE,1-800-218-2885,https://www.princeedwardisland.ca/fr/information/sante-pei,,"Service disponible 24h/24, 7j/7",t,f,,
pe-foodbank-pe,sans adresse,PEI Food Banks,alimentation,Banque alimentaire,Province de l'Île-du-Prince-Édouard,PE,902-368-2961,https://www.feedpei.ca,,"Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",t,f,,
pe-cmhc-pe,sans adresse,SCHL – Île-du-Prince-Édouard,achatImmobilier,Aide à l'achat,Province de l'Île-du-Prince-Édouard,PE,1-800-668-2642,https://www.cmhc-schl.gc.ca,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,t,f,,
v-grand-chemin,sans adresse,Le Grand Chemin,santemental,Toxicomanie jeunes,Montréal,QC,1-800-668-9210,,,Lun-ven 8h30-16h30. Sur rendez-vous pour suivi.,t,t,,"Réadaptation en dépendance pour jeunes 12-17 ans. Programme résidentiel intensif. Centres à Montréal, Québec et Saint-Célestin."
mh-anebquebec,sans adresse,ANEB – Anorexie et boulimie Québec,santemental,Troubles alimentaires,Province,QC,1-800-630-0907,https://anebquebec.com,,"Service disponible 24h/24, 7j/7",t,t,,"Ligne d'écoute, clavardage, groupes pour TCA. 24/7. Source: anebquebec.com."
imm-arrima,sans adresse,Arrima – Portail du MIFI pour candidats à l'immigration,immigration,Portail gouvernemental,Province,QC,1-877-864-9191,https://www.quebec.ca/immigration/arrima,,Portail en ligne 24h/24. Centre d'appels: lun-ven 8h-20h.,t,f,,Plateforme officielle pour soumettre une déclaration d'intérêt au PRTQ. Source: quebec.ca.
s-cavac-qc,sans adresse,CAVAC – Centres d'aide aux victimes d'actes criminels,soutienSocial,Aide victimes d'actes criminels,Province,QC,1-866-532-2822,https://cavac.qc.ca,,Lun-ven 8h30-16h30.,t,f,,17 CAVAC régionaux. Soutien gratuit aux victimes et témoins d'actes criminels. Source: cavac.qc.ca.
emp-aide-cv-entrevue,sans adresse,Centre d'aide CV et entrevue – Organismes d'aide à l'emploi,emploi,Aide CV et entrevue,Province,QC,1-877-644-4545,https://www.quebec.ca/emploi/trouver-emploi-stage/organismes-aide,,Lun-ven 8h30-16h30.,t,f,,"Annuaire officiel des organismes d'aide à la recherche d'emploi : rédaction de CV, préparation aux entrevues, soutien personnalisé. Recherche par région. Source: quebec.ca."
emp-centre-aide-travailleurs,sans adresse,Centre d'aide aux travailleurs – Québec,emploi,Soutien aux travailleurs,Province,QC,1-877-644-4545,https://www.quebec.ca/famille-et-soutien-aux-personnes/aide-sociale-et-solidarite-sociale,,Lun-ven 8h30-16h30.,t,f,,"Information officielle sur l'aide sociale, la solidarité sociale et le soutien aux travailleurs en difficulté financière. Source: quebec.ca."
mh-drogue-aide,sans adresse,Drogue : aide et référence,santemental,Dépendance substances,Province,QC,1-800-265-2626,https://aidedrogue.ca,,Lun-ven 8h30-16h30. Sur rendez-vous pour suivi.,t,f,,Ligne provinciale gratuite 24/7 pour problèmes de consommation. Source: aidedrogue.ca.
emp-emploi-quebec,sans adresse,Emploi-Québec,emploi,Gouvernement – emploi,Province,QC,1-888-643-4721,https://www.emploiquebec.gouv.qc.ca,,Lun-ven 8h30-16h30.,t,f,,"Service public d'emploi : Placement en ligne, IMT en ligne, programmes de formation et d'employabilité. Source: emploiquebec.gouv.qc.ca."
mh-info-social-qc,sans adresse,Info-Social 811 (option 2),santemental,Ligne provinciale 24/7,Province,QC,811,https://www.quebec.ca/sante/trouver-une-ressource/info-sante-811,,"Service disponible 24h/24, 7j/7",t,t,,"Consultation psychosociale 24/7 par travailleur social. Composez 811, option 2. Source: quebec.ca."
s-info-aide-violence-sexuelle,sans adresse,Info-aide violence sexuelle,soutienSocial,Ligne provinciale – agression sexuelle,Province,QC,1-888-933-9007,https://infoaideviolencesexuelle.ca,,Lun-ven 8h30-16h30.,t,t,,"Ligne d'écoute, info et référence pour victimes d'agression sexuelle. 24/7. Source: infoaideviolencesexuelle.ca."
mh-interligne-lgbtq,sans adresse,Interligne (LGBTQ+),santemental,Soutien LGBTQ+,Province,QC,1-888-505-1010,https://interligne.co,,"Service disponible 24h/24, 7j/7",t,f,,"Ligne d'écoute, info, soutien pour personnes LGBTQ+. 24/7. Source: interligne.co."
mh-jeu-aide,sans adresse,Jeu : aide et référence,santemental,Dépendance jeu,Province,QC,1-800-461-0140,https://aidejeu.ca,,Lun-ven 8h30-16h30. Sur rendez-vous pour suivi.,t,f,,Ligne provinciale gratuite 24/7 pour problèmes de jeu. Source: aidejeu.ca.
mh-suicide-action-qc,sans adresse,Ligne québécoise de prévention du suicide (1 866 APPELLE),santemental,Ligne d'écoute 24/7,Province,QC,1-866-277-3553,https://commentparlerdusuicide.com,,"Service disponible 24h/24, 7j/7",t,t,,"Ligne d'aide gratuite, confidentielle, 24h/24, 7j/7 partout au Québec. Source: aqps.info."
imm-mifi,sans adresse,"Ministère de l'Immigration, Francisation et Intégration (MIFI)",immigration,Gouvernement du Québec,Province,QC,1-877-864-9191,https://www.quebec.ca/immigration,,Lun-ven 8h30-16h30. Sur RV pour consultations spécialisées.,t,f,,"Information officielle sur l'immigration, la francisation et l'intégration au Québec. Source: quebec.ca."
emp-programme-aide-emploi,sans adresse,Programme d'aide à l'emploi – Services Québec (Renseignements généraux),emploi,Gouvernement – emploi,Province,QC,1-877-644-4545,https://www.quebec.ca/emploi,,Lun-ven 8h30-16h30.,t,f,,"Renseignements généraux du gouvernement du Québec : programmes de formation, marché du travail, aide à l'emploi. Lun-Ven 8h-18h. Régions : Montréal 514-644-4545 · Québec 418-644-4545 · Rive-Sud/Laval 450-644-4545 · Mauricie/Outaouais 819-644-4545 · Sans frais 1-877-644-4545. Source: quebec.ca."
s-sos-violence-conjugale,sans adresse,SOS violence conjugale,soutienSocial,Ligne provinciale 24/7 – violence,Province,QC,1-800-363-9010,https://sosviolenceconjugale.ca,,"Service disponible 24h/24, 7j/7",t,t,,"Ligne d'aide gratuite, confidentielle, 24/7. Référence vers refuges et services. Source: sosviolenceconjugale.ca."
emp-services-quebec-centre,sans adresse,Services Québec – Centre de services,emploi,Gouvernement – emploi,Province,QC,1-877-644-4545,https://www.quebec.ca/services-quebec,,Lun-ven 8h30-16h30.,t,f,,"Centres de services Services Québec : information gouvernementale, programmes, démarches. Lun-Ven 8h-18h. Régions : Montréal 514-644-4545 · Québec 418-644-4545 · Rive-Sud/Laval 450-644-4545 · Mauricie/Outaouais 819-644-4545 · Sans frais 1-877-644-4545. Source: quebec.ca."
emp-services-quebec,sans adresse,Services Québec – Centres locaux d'emploi,emploi,Gouvernement – emploi,Province,QC,1-877-644-4545,https://www.quebec.ca/emploi,,Lun-ven 8h30-16h30.,t,f,,"130+ Centres locaux d'emploi (CLE) au Québec : aide à la recherche d'emploi, aide financière de dernier recours, formation. Trouver un CLE par code postal sur le site. Source: quebec.ca."
mh-tel-jeunes-qc,sans adresse,Tel-jeunes,santemental,Ligne d'écoute jeunes,Province,QC,1-800-263-2266,https://teljeunes.com,,"Ligne d'écoute 24h/24, 7j/7",t,t,,"Ligne d'aide pour jeunes 5-20 ans : appel, texto (514-600-1002), clavardage. 24/7. Source: teljeunes.com."
v-anebquebec,sans adresse,ANEB — Troubles alimentaires,santemental,Troubles alimentaires,Province de Québec,QC,1-800-630-0907,,,"Service disponible 24h/24, 7j/7",t,t,,"Anorexie et Boulimie Québec. Ligne d'écoute, clavardage, groupes d'entraide pour personnes vivant avec un trouble alimentaire et leurs proches."
v-aqris,sans adresse,AQIS — Association du Québec pour l'intégration sociale,soutienSocial,Déficience intellectuelle,Province de Québec,QC,1-888-381-2300,,,Lun-ven 8h30-16h30.,t,f,,"Soutien aux personnes vivant avec une déficience intellectuelle et leurs familles. Défense des droits, formation, ressources."
v-aqrips,sans adresse,AQRIPH — Personnes handicapées,soutienSocial,Handicap,Province de Québec,QC,1-888-336-0967,,,Lun-ven 8h30-16h30.,t,f,,"Alliance québécoise des regroupements pour l'intégration des personnes handicapées. Défense des droits, ressources locales partout au Québec."
soc-jurid1,sans adresse,Aide juridique du Québec,soutienSocial,Aide juridique,Province de Québec,QC,1-800-842-2213,,,Lun-ven 8h30-16h30.,t,f,,"Aide juridique gratuite pour personnes à faible revenu : logement, famille, immigration, criminel, aide sociale. Seuils d'admissibilité selon revenu. Bureaux dans toutes les régions."
imm-jurid1,sans adresse,Aide juridique – clinique immigration,immigration,Aide juridique,Province de Québec,QC,1-800-842-2213,,,Lun-ven 8h30-16h30. Sur RV pour consultations spécialisées.,t,f,,"Aide juridique gratuite pour immigrants à faible revenu : statut de réfugié, appels CISR, permis de travail, parrainage. Disponible dans toutes les régions du Québec."
soc-mss1,sans adresse,Aide sociale – Ministère Emploi et Solidarité,soutienSocial,Aide sociale,Province de Québec,QC,1-877-767-8773,,,Lun-ven 8h30-16h30.,t,f,,Programme d'aide sociale et de solidarité sociale du Québec. Prestations mensuelles pour personnes à faible revenu sans emploi. Aide spéciale pour situations d'urgence.
assurance-aviva,sans adresse,Aviva Canada,soutienSocial,Assurance automobile,Province de Québec,QC,1-866-692-8482,,,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,t,t,,"Assureur de dommages présent au Québec via un réseau de courtiers. Produits auto, habitation et assurance spécialisée. Déclaration de sinistre en ligne ou par téléphone 24h/24."
assurance-beneva,sans adresse,Beneva Assurance,soutienSocial,Assurance automobile,Province de Québec,QC,1-877-236-3827,,,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,t,t,,"Beneva (fusion de La Capitale et SSQ) est le plus grand assureur québécois. Assurance auto, habitation et vie. Service en ligne 24h/24, gestion des réclamations rapide et application mobile."
v-cavac,sans adresse,CAVAC — Centre d'aide aux victimes d'actes criminels,soutienSocial,Aide aux victimes,Province de Québec,QC,1-866-532-2822,,,Lun-ven 8h30-16h30.,t,t,,"Aide gratuite et confidentielle pour victimes d'actes criminels et leurs proches : intervention post-traumatique, information sur droits et démarches judiciaires, accompagnement."
emp-form1,sans adresse,CFP – Centres de formation professionnelle,emploi,Formation professionnelle,Province de Québec,QC,1-877-644-4545,,,Lun-ven 8h30-16h30.,t,f,,"Réseau de formations professionnelles reconnues (DEP, AEP). Cuisine, électricité, coiffure, mécanique, soins infirmiers... Programmes financés par le gouvernement. Droits de scolarité réduits."
assurance-cooperators,sans adresse,Co-operators,soutienSocial,Assurance automobile,Province de Québec,QC,1-888-265-6444,,,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,t,t,,"Coopérative d'assurance canadienne. Couvertures auto, habitation et vie au Québec. Conseillers locaux dans plusieurs villes, programme de fidélité et accompagnement personnalisé en cas de sinistre."
soc-drt1,sans adresse,Commission des droits de la personne (CDPDJ),soutienSocial,Défense des droits,Province de Québec,QC,1-800-361-6477,,,Lun-ven 8h30-16h30.,t,f,,"Organisme québécois de défense contre la discrimination et le harcèlement. Plaintes pour discrimination au logement, emploi, services. Aide gratuite aux victimes de violations des droits."
pw-csj-juridique,sans adresse,Commission des services juridiques (Aide juridique),soutienSocial,Aide juridique gratuite,Province de Québec,QC,1-800-842-2213,https://www.csj.qc.ca/,,Lun-ven 8h30-16h30. Sur RV. Garde téléphonique 24h pour arrestation: 1-800-842-2213.,t,f,,"Aide juridique gratuite ou à contribution selon les revenus. Bureaux dans toutes les régions du Québec. Couvre droit familial, criminel, immigration, jeunesse et plus."
urgent-croix-rouge,sans adresse,Croix-Rouge canadienne — Québec,soutienSocial,Aide aux sinistrés,Province de Québec,QC,1-800-418-1111,,,Lun-ven 8h30-16h30.,t,t,,"Aide d'urgence pour les victimes de sinistres : incendie, inondation, tempête. Hébergement temporaire, vêtements, nourriture, médicaments. Disponible 24h/24 en cas de catastrophe. Également présente pour l'aide humanitaire internationale et les formations aux premiers secours."
