id,nom,categorie_code,categorie_label,sous_categorie,ville,province_code,province_label,telephone,site_web,adresse,horaires,description,urgent,couvre_province,badge_verifie,featured,lat,lng,langues,organisation_id
pw-csj-juridique,Commission des services juridiques (Aide juridique),legal,Aide juridique,Aide juridique gratuite,Province de Québec,QC,Québec,1-800-842-2213,https://www.csj.qc.ca/,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. Sur RV. Garde téléphonique 24h pour arrestation: 1-800-842-2213.,"Aide juridique gratuite ou à contribution selon les revenus. Bureaux dans toutes les régions du Québec. Couvre droit familial, criminel, immigration, jeunesse et plus.",,oui,oui,,45.5017,-73.5673,fr|en,
pw-fc-francophone,Fédération culturelle canadienne-française,social,Soutien social,Services francophones hors Québec,Province de Québec,QC,Québec,1-866-823-3322,https://fccf.ca/,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30.,"Réseau pancanadien des organismes francophones et acadiens. Référence vers services en français hors Québec : éducation, culture, services sociaux, santé.",,oui,oui,,45.4215,-75.6972,fr|en,
tr-f1,Moisson Mauricie / Centre-du-Québec,food,Alimentation,Banque alimentaire,Trois-Rivières,,,819-370-0484,,"1579, rue Laviolette, Trois-Rivières, QC G9A 1W5","Lun-ven 9h-16h, sam 9h-13h. Horaires varient selon point de distribution.",Banque alimentaire régionale. Distribution de denrées aux familles et personnes dans le besoin.,oui,,,,46.3358,-72.5511,,
tr-m1,Centre de Crise de la Mauricie,mentalHealth,Santé mentale,Crise psychologique,Trois-Rivières,,,819-379-0596,,"492, rue Niverville, Trois-Rivières, QC G9A 2A2","Service disponible 24h/24, 7j/7",Intervention de crise 24h/24 pour la Mauricie. Soutien immédiat en cas de détresse.,oui,,,,46.3432,-72.5427,,
tr-h2,Mission de l'Espoir – Trois-Rivières,housing,Logement,Hébergement d'urgence,Trois-Rivières,,,819-375-7782,,"1457, rue Notre-Dame Est, Trois-Rivières, QC G9A 4X9","Hébergement d'urgence: accueil 24h/24, 7j/7.","Refuge communautaire pour hommes sans domicile à Trois-Rivières. Hébergement d'urgence, repas chauds, douches, vêtements et accompagnement vers des ressources permanentes. Accueil tous les soirs.",oui,,,,46.3442,-72.548,,
tr-f2,Société de Saint-Vincent-de-Paul – Trois-Rivières,food,Alimentation,Aide alimentaire,Trois-Rivières,,,819-375-8467,,"2580, rue Royale, Trois-Rivières, QC G9A 4L5",Lun-ven 9h-16h. Vérifier horaires locaux.,"Dépannage alimentaire, vêtements, mobilier et aide matérielle aux personnes dans le besoin à Trois-Rivières. Friperie à bas prix, épicerie communautaire, accompagnement. Aucun jugement, accueil chaleureux.",,,,,46.3432,-72.5427,,
tr-ciusss-territoire,CIUSSS MCQ — Territoire de Trois-Rivières,health,Santé,Réseau de la santé,Trois-Rivières,,,819-370-2200,,"550, rue Bonaventure, Trois-Rivières, QC G9A 2B5",Lun-ven 8h30-16h30. Pour urgence: 811 (Info-Santé) ou urgence hospitalière.,"Portail officiel du CIUSSS de la Mauricie-et-du-Centre-du-Québec pour le territoire de Trois-Rivières. Liste complète de toutes les installations : hôpital CHAUR, CLSC, CHSLD, centres de réadaptation, points de service, groupes de médecine de famille (GMF). Coordonnées, horaires et services offerts pour chaque installation.",,,,,46.3432,-72.5427,,
tr-health1,CLSC de Trois-Rivières — CIUSSS MCQ,health,Santé,CLSC / Soins de santé,Trois-Rivières,,,819-370-2100,,"731, rue Sainte-Julie, Trois-Rivières, QC G9A 1Y1",Lun-ven 8h-20h. Sam-dim et fériés 8h-16h. Sur RV pour certains services.,"Centres locaux de services communautaires (CLSC) de Trois-Rivières et des environs. Soins infirmiers, médecine familiale, travail social, nutrition, physiothérapie, périnatalité, santé mentale. Consultations sans rendez-vous selon disponibilité. Couverture gratuite avec carte d'assurance maladie. Répertoire complet des CLSC de la région sur IndexSanté.",,,,,46.3432,-72.5427,,
tr-emp1,Carrefour Jeunesse-Emploi Mauricie (CJE),employment,Emploi,Aide à l'emploi,Trois-Rivières,,,819-375-1313,,"580, rue Barkoff, bureau 300, Trois-Rivières, QC G8T 9T7",Lun-ven 8h30-16h30.,"Service d'aide à l'emploi et à l'entrepreneuriat pour les 16-35 ans de la Mauricie. Rédaction de CV, préparation aux entrevues, exploration de carrière, formation. Gratuit et confidentiel.",,,,,46.3432,-72.5427,,
tr-emp2,Emploi-Québec — Bureau de Trois-Rivières,employment,Emploi,Service public d'emploi,Trois-Rivières,,,1-888-643-4721,,"165, boulevard Sainte-Madeleine, Trois-Rivières, QC G8T 3L3",Lun-ven 8h30-16h30. Sans RV ou sur RV selon service.,"Bureau local d'Emploi-Québec à Trois-Rivières. Aide au placement, assurance-emploi, formations subventionnées, aide aux chercheurs d'emploi et aux travailleurs sans emploi. Soutien financier d'urgence possible.",,,,,46.3432,-72.5427,,
tr-fam1,Centre-femmes de la Mauricie,family,Famille,Soutien aux femmes,Trois-Rivières,,,819-378-9373,,"889, rue du Haut-Boc, Trois-Rivières, QC G9A 4W7",Lun-ven 8h30-16h30. Sur RV.,"Centre de ressources pour femmes à Trois-Rivières. Soutien psychosocial, ateliers de développement personnel, aide aux démarches administratives, accompagnement. Accueil gratuit, espace sécuritaire et sans jugement.",,,,,46.3432,-72.5427,,
tr-legal1,Bureau d'aide juridique de la Mauricie,social,Soutien social,Aide juridique,Trois-Rivières,,,819-371-6711,,"1350, rue Royale, bureau 601, Trois-Rivières, QC G9A 4J4",Lun-ven 8h30-16h30.,"Aide juridique gratuite ou à faible coût pour les personnes à faible revenu à Trois-Rivières. Droit familial, logement, criminel, immigration. Vérification d'admissibilité selon revenus.",,,,,46.3432,-72.5427,,
tr-social1,Centraide Mauricie,social,Soutien social,Soutien communautaire,Trois-Rivières,,,819-374-3676,,"240, rue des Forges, bureau 203, Trois-Rivières, QC G9A 2G8",Lun-ven 8h30-16h30.,"Organisme communautaire finançant 60+ organismes en Mauricie. Référencement vers les ressources locales pour logement, alimentation, santé mentale, famille, emploi. Appel gratuit pour être orienté vers les bons services.",,,,,46.3432,-72.5427,,
tr-immig1,CITIM — Comité d'intégration et régionalisation de l'immigration Mauricie,immigration,Immigration,Intégration immigrants,Trois-Rivières,,,819-372-4655,,"919, boulevard du Saint-Maurice, Trois-Rivières, QC G9A 3R1",Lun-ven 8h30-16h30. Sur RV pour consultations spécialisées.,"Organisme d'accueil et d'intégration des immigrants à Trois-Rivières et en Mauricie. Aide aux démarches d'immigration, cours de français, recherche d'emploi, orientation culturelle, soutien à la famille. Accueil dans plusieurs langues.",,,,,46.3432,-72.5427,,
tr-cavac,CAVAC Mauricie-Centre-du-Québec,family,Famille,Aide aux victimes,Trois-Rivières,,,819-373-0318,,"950, rue Royale, bureau 104, Trois-Rivières, QC G9A 4H8",Lun-ven 8h30-16h30. Sur RV.,"Centre d'aide aux victimes d'actes criminels pour la Mauricie et le Centre-du-Québec. Soutien psychosocial, accompagnement judiciaire, aide aux démarches. Service gratuit et confidentiel pour toutes les victimes.",oui,,,,46.3432,-72.5427,,
tr-drop,Drogue Aide et Référence — Point de contact Trois-Rivières,mentalHealth,Santé mentale,Dépendance et addiction,Trois-Rivières,,,1-800-265-2626,,Point de contact TR – coordonnées sur demande (ligne téléphonique principale),"Service disponible 24h/24, 7j/7","Référencement local vers les ressources en dépendance à Trois-Rivières et en Mauricie. Centres de réadaptation, groupes d'entraide, suivi personnalisé. Le CIUSSS MCQ offre aussi des services spécialisés en dépendance.",oui,,,,46.3432,-72.5427,,
cpe-pw1,Mon Enfant – Liste d'attente CPE,childcare,Services de garde,CPE subventionné,Province de Québec,,,1-877-644-4545,,N/A — service téléphonique/en ligne,Inscription via portail 24h/24. Bureau: lun-ven 7h30-17h,Portail provincial pour s'inscrire sur la liste d'attente des CPE et garderies subventionnées (≈ 10 $/jour). Géré par le Ministère de la Famille du Québec.,,oui,,,46.8139,-71.2082,,
cpe-pw2,Ministère de la Famille – Aide financière garde,childcare,Services de garde,Aide financière,Province de Québec,,,1-877-644-4545,,N/A — service téléphonique/en ligne,Lun-ven 7h-18h. Fermeture jours fériés et 2 semaines l'été.,"Information sur les subventions pour garde non subventionnée, aide d'urgence et remboursement d'impôt pour frais de garde (crédit d'impôt pour frais de garde d'enfants).",,oui,,,46.8139,-71.2082,,
cpe-pw3,Garde en milieu familial (RSG) – Réseau provincial,childcare,Services de garde,Milieu familial subventionné,Province de Québec,,,1-877-644-4545,,N/A — service téléphonique/en ligne,Lun-ven 7h-18h. Fermeture jours fériés et 2 semaines l'été.,Réseau de responsables en service de garde (RSG) à domicile. Tarif subventionné ≈ 10 $/jour. Disponible dans toutes les régions du Québec via Mon Enfant.,,oui,,,46.8139,-71.2082,,
cpe-tr1,CPE Au Jardin d'Enfants – Trois-Rivières,childcare,Services de garde,CPE subventionné,Trois-Rivières,,,819-375-9822,https://www.quebec.ca/famille-et-soutien-aux-personnes/enfance/garderies-et-services-de-garde/portail-inscription/parents/acceder-parents,"3140, rue Louis-Pasteur, Trois-Rivières, QC G8Z 4E3",Lun-ven 7h-18h. Fermeture jours fériés et 2 semaines l'été.,CPE subventionné en Mauricie. Accueil des enfants de 0 à 5 ans au tarif réduit ≈ 10 $/jour. Inscription via Mon Enfant.,,,,,46.3533,-72.5491,,
re-pw1,SCHL – Société canadienne d'hypothèques,realestate,Achat immobilier,Programme gouvernemental,Province de Québec,,,1-800-668-2642,,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,"Programme fédéral d'assurance hypothécaire (mise de fonds 5 %-19,99 %). Calculateurs de budget, guides du premier acheteur, aide aux familles vulnérables. Obligatoire si mise de fonds < 20 %.",,oui,,,46.8139,-71.2082,,
re-pw2,RAP – Régime d'accession à la propriété (REER),realestate,Achat immobilier,Programme gouvernemental,Province de Québec,,,1-800-959-8281,,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,Retirez jusqu'à 35 000 $ de votre REER sans impôt pour l'achat d'une première propriété. Remboursement sur 15 ans. Accessible via l'Agence du revenu du Canada (ARC).,,oui,,,46.8139,-71.2082,,
re-pw3,CELIAPP – Compte épargne libre d'impôt 1ère propriété,realestate,Achat immobilier,Programme gouvernemental,Province de Québec,,,1-800-959-8281,,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,Épargnez jusqu'à 40 000 $ (8 000 $/an) à l'abri de l'impôt pour acheter votre première maison. Cotisations déductibles du revenu. Disponible dans toutes les banques et caisses.,,oui,,,46.8139,-71.2082,,
re-pw5,DuProprio – Vente sans courtier,realestate,Achat immobilier,Recherche de propriété,Province de Québec,,,1-866-387-7677,,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,"Propriétés vendues directement par les propriétaires, sans commission de courtier. Souvent moins cher. Bonne option pour acheteurs à budget limité.",,oui,,,46.8139,-71.2082,,
re-assist1,OACIQ – Organisme d'autoréglementation courtage immobilier,realestate,Achat immobilier,Encadrement professionnel,Province de Québec,,,1-800-440-7170,,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,"Vérifiez qu'un courtier est certifié au Québec. Accès à la procédure officielle d'achat immobilier, vos droits comme acheteur, et résolution de litiges. Gratuit.",,oui,,,45.5548,-73.4568,,
re-assist2,Chambre des notaires du Québec,realestate,Achat immobilier,Service juridique,Province de Québec,,,1-800-263-1793,,,Lun-ven 9h-17h. Sam 9h-12h pour certains bureaux. En ligne 24h.,"Le notaire est obligatoire pour finaliser un achat immobilier au Québec. Il rédige l'acte de vente, vérifie les titres de propriété et enregistre la transaction. Honoraires typiques : 1 000 $–1 800 $.",,oui,,,45.5015,-73.5711,,
hlth-pw1,RAMQ – Régie de l'assurance maladie,health,Santé,Assurance maladie,Province de Québec,,,1-800-561-9749,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. Pour urgence: 811 (Info-Santé) ou urgence hospitalière.,"Inscrivez-vous à la carte d'assurance maladie (RAMQ) pour accéder aux soins de santé couverts. Aide pour personnes sans carte, nouveaux arrivants et situations précaires.",,oui,,,46.8139,-71.2082,,
hlth-pw3,OPHQ – Office des personnes handicapées,health,Santé,Personnes handicapées,Province de Québec,,,1-800-567-1465,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. Pour urgence: 811 (Info-Santé) ou urgence hospitalière.,"Défense des droits des personnes handicapées au Québec. Aide à l'accès aux services adaptés, transport, logement et emploi. Guide des programmes et ressources disponibles.",,oui,,,46.8139,-71.2082,,
hlth-pw4,Programme SAPA – Soins à domicile (CISSS/CIUSSS),health,Santé,Soins à domicile,Province de Québec,,,811,,N/A — service téléphonique/en ligne,"Service disponible 24h/24, 7j/7","Services de soins à domicile pour personnes âgées ou en perte d'autonomie : infirmières, ergothérapeutes, aide-ménagère, repas. Contactez votre CLSC local ou le 811.",,oui,,,46.8139,-71.2082,,
hlth-aine1,Réseau FADOQ – Services aux aînés,health,Santé,Services aux aînés,Province de Québec,,,1-800-544-9058,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. Pour urgence: 811 (Info-Santé) ou urgence hospitalière.,"Plus grand réseau d'aînés du Québec. Aide aux aînés pour accéder aux services de santé, logement, transport adapté, activités sociales et défense de leurs droits.",,oui,,,46.8139,-71.2082,,
imm-pw2,Service Canada – Statuts et documents fédéraux,immigration,Immigration,Services fédéraux,Province de Québec,,,1-800-622-6232,,N/A — service téléphonique/en ligne,Portail en ligne 24h/24. Centre d'appels: lun-ven 8h-20h.,"Immigration, Réfugiés et Citoyenneté Canada (IRCC). Permis de travail, résidence permanente, citoyenneté, réfugiés. Service d'assistance téléphonique gratuit.",,oui,,,46.8139,-71.2082,,
imm-jurid1,Aide juridique – clinique immigration,immigration,Immigration,Aide juridique,Province de Québec,,,1-800-842-2213,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. Sur RV pour consultations spécialisées.,"Aide juridique gratuite pour immigrants à faible revenu : statut de réfugié, appels CISR, permis de travail, parrainage. Disponible dans toutes les régions du Québec.",,oui,,,45.5088,-73.561,,
emp-pw1,Emploi-Québec – Services d'emploi,employment,Emploi,Centre d'emploi,Province de Québec,,,1-877-644-4545,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30.,"Service public d'emploi du Québec. Aide à la recherche d'emploi, formation professionnelle, programmes de subvention aux employeurs, aide financière pour les chercheurs d'emploi.",,oui,,,46.8139,-71.2082,,
emp-pw2,Service Canada – Assurance-emploi (AE),employment,Emploi,Aide financière,Province de Québec,,,1-800-206-7218,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30.,"Demande de prestations d'assurance-emploi suite à une perte d'emploi. Calculateur de prestations, déclarations bimensuelles, aide aux prestataires en situation précaire.",,oui,,,46.8139,-71.2082,,
emp-form1,CFP – Centres de formation professionnelle,employment,Emploi,Formation professionnelle,Province de Québec,,,1-877-644-4545,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30.,"Réseau de formations professionnelles reconnues (DEP, AEP). Cuisine, électricité, coiffure, mécanique, soins infirmiers... Programmes financés par le gouvernement. Droits de scolarité réduits.",,oui,,,46.8139,-71.2082,,
soc-drt1,Commission des droits de la personne (CDPDJ),social,Soutien social,Défense des droits,Province de Québec,,,1-800-361-6477,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30.,"Organisme québécois de défense contre la discrimination et le harcèlement. Plaintes pour discrimination au logement, emploi, services. Aide gratuite aux victimes de violations des droits.",,oui,,,45.5088,-73.5565,,
soc-drt2,Protecteur du citoyen,social,Soutien social,Défense des droits,Province de Québec,,,1-800-463-5070,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30.,"Ombudsman québécois. Défend les citoyens face aux erreurs ou injustices des ministères et organismes publics du Québec. Gratuit, confidentiel. Aussi pour aide sociale, logement, RAMQ.",,oui,,,46.8139,-71.2082,,
soc-jurid1,Aide juridique du Québec,social,Soutien social,Aide juridique,Province de Québec,,,1-800-842-2213,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30.,"Aide juridique gratuite pour personnes à faible revenu : logement, famille, immigration, criminel, aide sociale. Seuils d'admissibilité selon revenu. Bureaux dans toutes les régions.",,oui,,,45.5088,-73.557,,
soc-rev1,Revenu Québec – Aide aux personnes à faible revenu,social,Soutien social,Services gouvernementaux,Province de Québec,,,1-800-267-6299,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Aide pour produire votre déclaration de revenus, accéder aux crédits d'impôt (solidarité, TVQ), régulariser des dettes fiscales. Programme Assistance-Revenu et aide aux aînes.",,oui,,,46.8139,-71.2082,,
soc-mss1,Aide sociale – Ministère Emploi et Solidarité,social,Soutien social,Aide sociale,Province de Québec,,,1-877-767-8773,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30.,Programme d'aide sociale et de solidarité sociale du Québec. Prestations mensuelles pour personnes à faible revenu sans emploi. Aide spéciale pour situations d'urgence.,,oui,,,46.8139,-71.2082,,
saaq-mtl,SAAQ — Bureau de Montréal (centre-ville),social,Soutien social,Services gouvernementaux,Montréal,,,1-800-361-7620,,"1313, rue Saint-Jacques, Montréal QC H3C 4K2",Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Bureau de la SAAQ pour permis de conduire, immatriculation, plaques, indemnisation des victimes d'accidents et services aux conducteurs. Rendez-vous en ligne recommandé.",,,,,45.5088,-73.5878,,
saaq-qc,SAAQ — Bureau de Québec,social,Soutien social,Services gouvernementaux,Québec,,,1-800-361-7620,,"2600, boul. Laurier, bureau 49, Québec QC G1V 5C1 (Place de la Cité)",Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Bureau de la SAAQ pour permis de conduire, immatriculation, plaques, indemnisation des victimes d'accidents et services aux conducteurs. Rendez-vous en ligne recommandé.",,,,,46.8139,-71.2082,,
saaq-laval,SAAQ — Bureau de Laval,social,Soutien social,Services gouvernementaux,Laval,,,1-800-361-7620,,"660, boul. Le Corbusier, Laval QC H7N 0A9",Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Bureau de la SAAQ pour permis de conduire, immatriculation, plaques, indemnisation des victimes d'accidents et services aux conducteurs. Rendez-vous en ligne recommandé.",,,,,45.6066,-73.7124,,
saaq-longueuil,SAAQ — Bureau de Longueuil,social,Soutien social,Services gouvernementaux,Longueuil,,,1-800-361-7620,,"2877, chemin Chambly, Longueuil QC",Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Bureau de la SAAQ pour permis de conduire, immatriculation, plaques, indemnisation des victimes d'accidents et services aux conducteurs. Rendez-vous en ligne recommandé.",,,,,45.5315,-73.5189,,
saaq-sherbrooke,SAAQ — Bureau de Sherbrooke,social,Soutien social,Services gouvernementaux,Sherbrooke,,,1-800-361-7620,,"2885, boul. de Portland, Sherbrooke QC J1L 2S1",Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Bureau de la SAAQ pour permis de conduire, immatriculation, plaques, indemnisation des victimes d'accidents et services aux conducteurs. Rendez-vous en ligne recommandé.",,,,,45.4042,-71.8929,,
saaq-gatineau,SAAQ — Bureau de Gatineau,social,Soutien social,Services gouvernementaux,Gatineau,,,1-800-361-7620,,"975, boul. Saint-Joseph, Gatineau QC",Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Bureau de la SAAQ pour permis de conduire, immatriculation, plaques, indemnisation des victimes d'accidents et services aux conducteurs. Rendez-vous en ligne recommandé.",,,,,45.4765,-75.7013,,
saaq-trois-rivieres,SAAQ — Bureau de Trois-Rivières,social,Soutien social,Services gouvernementaux,Trois-Rivières,,,1-800-361-7620,,"765, rue Thibeau, bureau 700, Trois-Rivières, QC G8T 7A4",Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Bureau de la SAAQ pour permis de conduire, immatriculation, plaques, indemnisation des victimes d'accidents et services aux conducteurs. Rendez-vous en ligne recommandé.",,,,,46.3432,-72.5432,,
saaq-saguenay,SAAQ — Bureau de Saguenay,social,Soutien social,Services gouvernementaux,Saguenay,,,1-800-361-7620,,"2655, boul. du Royaume, Saguenay (Jonquière) QC G7S 4S9",Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Bureau de la SAAQ pour permis de conduire, immatriculation, plaques, indemnisation des victimes d'accidents et services aux conducteurs. Rendez-vous en ligne recommandé.",,,,,48.4277,-71.0694,,
assurance-beneva,Beneva Assurance,social,Soutien social,Assurance automobile,Province de Québec,,,1-877-236-3827,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Beneva (fusion de La Capitale et SSQ) est le plus grand assureur québécois. Assurance auto, habitation et vie. Service en ligne 24h/24, gestion des réclamations rapide et application mobile.",oui,oui,,,46.8139,-71.2082,,
assurance-promutuel,Promutuel Assurance,social,Soutien social,Assurance automobile,Province de Québec,,,1-888-466-6883,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Assureur mutuel québécois offrant la couverture auto, habitation et entreprise. Réseau de 17 caisses régionales partout au Québec. Déclaration de sinistre disponible 24h/24.",oui,oui,,,46.8139,-71.2082,,
assurance-intact,Intact Assurance,social,Soutien social,Assurance automobile,Province de Québec,,,1-866-464-2003,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Plus grand assureur de dommages au Canada. Assurance auto et habitation au Québec avec service de réclamation 24h/24, réseau de réparateurs certifiés et application Intact MaVoiture.",oui,oui,,,45.5048,-73.5772,,
assurance-desjardins,Desjardins Assurances,social,Soutien social,Assurance automobile,Province de Québec,,,1-800-463-7843,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Assurance auto et habitation du Mouvement Desjardins. Accès par les caisses populaires, en ligne ou par téléphone. Programme Ajusto récompense la conduite prudente avec des rabais.",oui,oui,,,45.423,-73.561,,
assurance-belairdirect,belairdirect,social,Soutien social,Assurance automobile,Province de Québec,,,1-888-270-3595,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Assureur en ligne leader au Québec. Soumission et gestion de police 100% numérique. Assurance auto avec assistance routière incluse, déclaration de sinistre 24h/24 et tarifs compétitifs.",oui,oui,,,45.5048,-73.5772,,
assurance-td,TD Assurance,social,Soutien social,Assurance automobile,Province de Québec,,,1-888-788-0839,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Assurance auto et habitation offerte aux membres de groupes affiliés et clients TD. Service de réclamation 24h/24, voiture de remplacement et protection contre les accidents sans faute.",oui,oui,,,45.5048,-73.5772,,
assurance-cooperators,Co-operators,social,Soutien social,Assurance automobile,Province de Québec,,,1-888-265-6444,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Coopérative d'assurance canadienne. Couvertures auto, habitation et vie au Québec. Conseillers locaux dans plusieurs villes, programme de fidélité et accompagnement personnalisé en cas de sinistre.",oui,oui,,,45.5048,-73.5772,,
assurance-aviva,Aviva Canada,social,Soutien social,Assurance automobile,Province de Québec,,,1-866-692-8482,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Assureur de dommages présent au Québec via un réseau de courtiers. Produits auto, habitation et assurance spécialisée. Déclaration de sinistre en ligne ou par téléphone 24h/24.",oui,oui,,,45.5048,-73.5772,,
assurance-wawanesa,Wawanesa Assurance,social,Soutien social,Assurance automobile,Province de Québec,,,1-844-929-2637,,N/A — service téléphonique/en ligne,Lun-ven 8h30-16h30. En ligne 24h/24 pour certains services.,"Assureur mutuel reconnu pour ses prix compétitifs en assurance auto et habitation. Vendu via courtiers agréés au Québec. Service en français, assistance routière et gestion des réclamations réactive.",oui,oui,,,45.5048,-73.5772,,
